report_number,classification,date,latitude,longitude
24146,Class A,2008-07-08,39.51489,-123.3899
24574,Class A,1993-08-13,38.33115,-119.7853
24648,Class A,2008-09-14,34.625,-119.2916
24936,Class A,2008-12-01,33.95002,-116.5333
24938,Class A,2008-10-27,36.70835,-118.375
25009,Class A,1962-08-14,37.475,-121.07
25260,Class A,2007-09-08,38.83996,-123.0585
25266,Class A,2009-01-12,36.79165,-118.125
25444,Class A,1982-04-15,34.73389,-119.9254
26116,Class A,2009-06-03,41.98645,-123.1749
26258,Class A,2009-07-15,38.79998,-120.2083
26850,Class A,1993-09-30,39.705,-121.18
27177,Class A,2010-01-22,34.76666,-118.5834
27609,Class A,2010-04-22,41.65925,-123.4498
27983,Class A,1974-08-01,35.665,-120.55
28432,Class A,2010-10-25,38.25,-121
32654,Class A,2011-12-03,41.845,-122.575
39181,Class A,2012-09-23,38.51665,-119.6234
62497,Class A,1990-05-15,37.62124,-121.7587
65862,Class A,1992-08-15,40.03728,-120.9851
65978,Class A,2008-06-15,38.21877,-120.0124
67480,Class A,1991-07-15,37.22716,-118.6271
211,Class A,1995-11-18,50.4023,-114.4419
9876,Class A,2003-11-15,50.0865,-114.2347
10775,Class A,1976-02-12,55.26332,-114.3957
12001,Class A,2005-04-15,53.62819,-114.1397
12647,Class A,1998-06-30,52.51666,-115.8742
17290,Class A,2008-01-23,56.12543,-117.1638
27043,Class A,1997-06-05,53.92005,-113.0987
38116,Class A,1972-08-26,50.03888,-110.6488
43598,Class A,2011-06-17,49.01115,-114.0243
65238,Class A,2004-04-07,54.36361,-119.4058
2113,Class A,2001-03-30,50.84333,-116.0426
3899,Class A,1999-09-14,49.3402,-121.3177
4900,Class A,2002-08-17,53.08,-119.665
5172,Class A,1965-10-20,56.3321,-121.3324
6831,Class A,2002-12-20,50.80041,-122.1751
10001,Class A,1987-04-13,59.61,-123.12
10633,Class A,2005-02-15,49.94374,-123.2054
10878,Class A,2005-03-08,49.54,-123.94
11915,Class A,2005-06-17,49.51069,-123.8562
12451,Class A,2005-08-14,53.59444,-120.4736
13232,Class A,1977-09-30,54.23708,-122.0064
13371,Class A,2005-09-10,49.62125,-121.3976
13464,Class A,2006-01-02,49.09555,-119.8664
13642,Class A,1985-07-31,49.4068,-122.1171
14328,Class A,1934-03-04,49.175,-121.525
14329,Class A,2006-03-02,49.24,-121.94
14511,Class A,1980-12-23,49.28569,-117.8504
15085,Class A,1985-07-15,51.05747,-118.398
15274,Class A,2006-06-20,48.83319,-124.2872
